Time (Sec);S1;S7;S49;S47;S25;S41;S46;S48;S24;S2;S51;S33;S34;S50;S35;S17;S26;S43;S18;S20;S11;S42;
3724.8799999997823;19158.10978399969;19158.63269119995;19153.067959998127;19155.270945598917;19157.125603999455;19158.192843199646;19154.652257600846;19155.05180159887;19156.628459999047;19157.181115199557;19150.974966397654;19158.420429599697;19158.704079999647;19151.86290559787;19159.19485279997;19158.426771199942;19158.262035199936;19159.15778719997;19157.3922311993;19156.990148799418;19144.111332799057;19158.79583759966;
3780.009673333111;19158.09537599969;19158.62239519995;19153.012438398113;19155.219686398905;19157.09678799945;19158.16402719964;19154.592312000856;19154.96220799885;19156.614051999044;19157.159503199553;19150.911750397638;19158.406021599694;19158.682467999643;19151.77577599785;19159.18661599997;19158.41029759994;19158.249679999935;19159.14337279997;19157.363415199296;19156.961432799413;19143.93325279904;19158.772804799653;
3840.009673333109;19158.088645599688;19158.61209919995;19152.9661439981;19155.171859198894;19157.08958399945;19158.15682319964;19154.55982240086;19154.91274719884;19156.59964399904;19157.130687199548;19150.88014239763;19158.38440959969;19158.67526399964;19151.74346559784;19159.17837919997;19158.40411999994;19158.243502399935;19159.135135999968;19157.355737599293;19156.94702479941;19143.83671519904;19158.749771999646;
3900.0096733331043;19158.074237599685;19158.59974399995;19152.902927998082;19155.131726398886;19157.060767999443;19158.135211199635;19154.50422400087;19154.841006398823;19156.58523599904;19157.101871199542;19150.816926397612;19158.362797599686;19158.67526399964;19151.653999997816;19159.17220159997;19158.38764639994;19158.231147199935;19159.122780799968;19157.325027199284;19156.918208799405;19143.671523199027;19158.728159999642;
3960.0096733330993;19158.059829599682;19158.570915199947;19152.752582398043;19155.05998559887;19157.024747999436;19158.120803199632;19154.44016000088;19154.809169598815;19156.570827999036;19157.015423199526;19150.746015997593;19158.32677759968;19158.66805999964;19151.543787197785;19159.15984639997;19158.36499519994;19158.216732799934;19159.116603199967;19157.289007199277;19156.874984799397;19143.481257599004;19158.72048239964;
4020.0096733330915;19158.03821759968;19158.554441599947;19152.66707039802;19154.98055039885;19156.98872799943;19158.091987199627;19154.356648000892;19154.7451231988;19156.509407199017;19156.981771199524;19150.600113597557;19158.28355359967;19158.66085599964;19151.41433279775;19159.14543199997;19158.34028479994;19158.189963199933;19159.106307199967;19157.23526399926;19156.83896479939;19143.23311839899;19158.71327839964;
4080.009673333081;19157.980585599667;19158.521494399945;19152.501335997975;19154.89236159883;19156.931095999418;19158.06317119962;19154.24522240091;19154.689601598788;19156.41727599899;19156.924139199513;19150.390910397502;19158.240329599663;19158.653178399636;19151.196131197696;19159.131017599968;19158.299100799937;19158.14877919993;19159.096011199967;19157.143132799232;19156.78133279938;19142.902031998972;19158.706074399637;
4140.0096733330665;19157.946933599665;19158.500902399945;19152.402526397946;19154.789012798807;19156.8446479994;19158.041559199617;19154.149812800923;19154.641545598777;19156.381255998982;19156.89048719951;19150.208956797454;19158.197105599655;19158.631566399632;19151.014177597648;19159.112484799967;19158.264094399936;19158.11377279993;19159.087774399966;19157.107112799225;19156.694884799363;19142.61874079894;19158.698396799635;
4201.326999999709;19157.889301599655;19158.467955199943;19152.2282671979;19154.728169598795;19156.758199999385;19157.99833519961;19154.03861600094;19154.55358559876;19156.319835198963;19156.8328551995;19149.9921439974;19158.17549359965;19158.62388879963;19150.87679999761;19159.102188799967;19158.237324799935;19158.07258879993;19159.073359999966;19157.045591999205;19156.658864799356;19142.288356798916;19158.691192799633;
4261.326999999688;19157.853281599648;19158.432948799942;19152.054838397853;19154.67264799878;19156.72217999938;19157.969519199603;19153.949612800956;19154.497361598744;19156.227703998935;19156.746407199484;19149.81407519735;19158.161085599648;19158.602276799626;19150.71411999757;19159.091892799966;19158.206436799934;19158.037582399927;19159.063063999965;19156.953460799177;19156.63725279935;19142.02381759891;19158.68351519963;
4320.009673333007;19157.833090399647;19158.40206079994;19151.89795839781;19154.62115999877;19156.664547999368;19157.9551111996;19153.846881600974;19154.43215519873;19156.135572798907;19156.659959199467;19149.595399997295;19158.132269599642;19158.594599199623;19150.55143999753;19159.083655999966;19158.175548799933;19157.996398399926;19159.052767999965;19156.86142959915;19156.615640799348;19141.718507198904;19158.660482399624;
4380.00967333299;19157.812899199645;19158.37117279994;19151.74107839777;19154.509286398745;19156.57809999935;19157.940703199598;19153.74140480099;19154.33418079871;19156.0995527989;19156.57351119945;19149.413446397248;19158.089045599634;19158.57298719962;19150.464310397507;19159.065123199965;19158.159075199932;19157.961391999925;19159.036294399964;19156.825409599143;19156.594028799344;19141.40522559887;19158.61441679961;
